"","Study_ID","PID1_1","PID2_1","PID3_1","PID4_1","PID5_1","PID6_1","PID7_1","PID8_1","PID9_1","PID10_1","PID11_1","PID12_1","PID13_1","PID14_1","PID15_1","PID16_1","PID17_1","PID18_1","PID19_1","PID20_1","PID21_1","PID22_1","PID23_1","PID24_1","PID25_1","Age","Gender","Ethnicity"
"3","101","1","1","1","1","1","1","1","1","1","1","1","1","3","1","2","2","1","1","2","1","2","1","1","1","1","18","2","2"
"4","114","3","2","3","3","3","2","2","3","3","3","2","3","2","2","3","3","2","3","2","3","3","3","2","3","2","18","2","2"
"5","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","120","1","1","1","1","1","1","1","1","1","1","1","1","1","2","3","3","3","2","3","2","3","2","3","2","3","20","2","7"
"7","122","2","2","2","3","2","2","3","3","3","3","3","3","2","2","2","2","2","2","2","2","2","2","2","2","2","22","1","7"
"8","110","2","2","2","2","2","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","3","2","1","19","2","2"
"9","129","1","2","3","3","2","2","2","3","1","4","4","3","2","2","3","2","1","2","4","3","4","4","3","4","2","18","1","2"
"10","109","1","3","2","4","1","3","3","4","4","4","4","4","4","1","2","3","1","2","4","2","3","1","4","3","1","20","2","7"
"11","107","1","1","1","2","2","2","1","3","2","2","2","2","3","2","2","2","1","2","1","3","2","3","3","2","2","21","2","2"
"12","141","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","1","1","1","1","1","1","1","1","1","18","2","2"
"13","119","2","3","3","4","3","4","4","2","2","4","2","2","3","4","4","1","2","1","1","3","4","4","1","2","4","19","2","7"
"14","148","3","1","3","1","3","1","2","1","1","1","1","1","1","1","1","3","2","1","3","1","4","1","1","1","1","18","2","7"
"15","154","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","19","2","1"
"16","113","1","3","2","3","3","1","2","3","4","2","3","3","1","1","3","1","1","1","1","1","4","1","1","2","1","","2","2,3,5"
"17","108","1","1","1","2","1","1","2","2","1","3","3","2","3","1","2","1","1","1","3","1","3","2","2","1","1","18","2","2"
"18","13909","3","3","3","2","2","2","3","4","2","3","2","2","4","1","2","3","2","2","2","2","4","1","3","2","2","18","2","2"
"19","151","3","2","3","4","3","2","3","4","2","3","2","1","4","2","3","3","1","3","3","2","3","2","4","3","2","18","2","2"
"20","112","1","2","3","3","1","2","3","2","1","2","2","1","1","1","3","1","1","1","2","1","2","1","3","1","1","18","1","6"
"21","125","1","1","1","1","1","1","1","1","2","1","1","1","1","1","3","2","1","1","2","1","1","2","1","1","1","20","2","7"
"22","132","3","3","3","2","3","1","2","3","3","4","2","3","2","2","3","2","2","2","3","3","2","2","2","2","2","19","2","2"
"23","14030","3","2","3","2","3","3","2","3","2","3","3","2","3","2","3","3","2","3","2","3","3","2","3","2","3","20","2","2"
"24","140","1","1","1","1","1","1","2","3","1","3","1","1","2","1","1","1","1","3","3","1","2","3","2","1","3","19","1","2"
"25","147","1","1","1","4","2","2","2","2","4","3","3","1","4","1","1","1","1","1","4","1","1","1","2","1","2","18","2","6"
"26","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"27","152","2","2","3","3","1","1","3","3","4","4","3","2","1","2","3","3","1","2","2","1","3","1","3","3","2","21","2","7"
"28","166","3","2","4","3","3","3","2","2","2","1","2","1","3","3","1","3","2","2","2","2","2","3","4","1","3","","2","2"
"29","159","3","4","4","4","3","1","3","4","4","4","2","3","1","1","3","1","1","1","4","1","2","1","3","3","1","21","2","2,7"
"30","164","1","1","2","2","1","2","4","4","3","2","2","2","1","2","3","2","1","3","4","2","2","1","4","4","1","","2","2"
"31","128","3","3","3","3","1","1","3","2","4","3","3","3","3","2","2","3","1","2","2","2","3","1","4","2","1","18","2","7"
"32","144","3","3","3","3","3","2","2","3","2","2","3","3","3","3","3","3","2","3","2","2","3","3","3","3","3","21","1","2"
"33","134","3","4","4","2","4","4","2","1","1","3","1","1","1","1","2","1","1","1","3","2","1","4","1","1","4","19","1","7"
"34","168","1","2","2","3","1","3","3","3","4","4","3","1","1","1","2","2","1","1","2","1","3","1","3","2","1","19","2","2"
"35","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"36","119","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"37","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"38","182","2","2","2","3","2","2","4","4","3","3","4","3","3","1","2","3","1","3","2","2","4","1","3","3","1","19","2","2"
"39","177","3","3","3","3","3","3","2","1","2","1","1","2","4","2","1","3","2","1","1","4","2","3","3","4","3","18","1","3"
"40","187","2","2","1","3","1","1","2","3","4","4","3","1","1","1","2","2","1","1","2","2","2","2","3","2","1","18","2","7"
"41","183","3","3","3","4","3","4","4","4","4","1","4","1","4","4","4","4","1","1","3","1","4","1","4","1","1","","3","2"
"42","106","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"43","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"44","169","1","3","3","3","1","3","2","3","3","3","3","2","4","2","3","3","2","2","3","2","2","1","2","2","2","19","2","2"
"45","153","1","3","3","2","2","3","2","4","3","3","2","1","2","1","3","3","2","1","3","1","2","2","3","1","1","19","2","3"
"46","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"47","188","1","1","2","2","2","3","2","3","3","3","3","2","1","1","3","1","1","1","3","1","3","1","2","1","1","","2","2"
"48","176","1","2","3","3","3","2","3","2","2","3","2","1","2","1","2","2","1","1","3","2","2","3","2","1","2","18","2","7"
"49","189","1","2","1","3","1","3","2","2","3","3","2","1","1","2","3","2","1","2","2","1","1","1","4","3","1","22","2","7"
"50","202","2","3","4","4","2","3","4","4","4","4","4","1","1","1","4","2","1","1","4","1","2","2","2","4","1","20","2","2"
"51","126","1","1","1","2","1","3","2","2","3","3","1","1","1","1","1","1","1","1","2","1","1","2","1","1","1","21","2","7"
"52","203","1","3","3","3","3","3","3","3","3","3","3","2","3","3","3","3","2","2","4","2","3","2","4","3","2","19","2","2"
"53","179","3","2","2","1","2","3","4","3","2","1","2","3","","4","3","2","1","2","","3","","2","3","2","1","19","2","3"
"54","204","1","1","1","1","1","1","1","1","1","4","1","1","2","1","4","4","1","1","1","1","1","1","1","1","1","18","2","7"
"55","221","2","1","2","2","1","1","2","3","3","3","3","1","1","2","3","3","1","2","1","2","2","1","2","2","2","25","1","2"
"56","213","1","1","1","1","1","1","2","1","1","1","2","2","1","1","1","2","1","1","3","2","2","1","1","1","1","18","2","6"
"57","212","1","1","1","3","1","1","3","2","3","3","2","1","4","1","1","3","1","2","3","1","1","1","3","3","1","21","2","2"
"58","173","1","3","3","3","2","3","3","4","4","3","3","3","4","4","4","4","2","4","4","2","4","4","4","4","2","18","2","1"
"59","153","1","2","3","1","1","4","1","3","3","3","1","1","1","1","3","3","2","2","2","1","1","1","3","1","1","19","2","3"
"60","14625","2","3","3","3","2","3","2","3","3","3","4","3","3","2","2","2","1","3","3","1","4","2","3","4","4","19","2","7"
"61","210","2","2","2","1","3","3","4","4","4","2","3","2","2","1","2","1","1","2","3","1","3","1","3","4","1","","2","7"
"62","9999","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"63","205","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"64","219","1","2","1","3","1","2","3","3","2","1","2","1","3","2","3","3","2","3","2","1","3","1","3","3","1","19","2","6"
"65","226","3","2","2","2","2","1","1","2","2","2","2","1","2","2","2","2","2","2","1","1","1","1","1","1","1","","2","2"
"66","217","2","4","3","3","2","4","3","2","4","1","2","2","3","1","2","2","1","1","2","1","2","1","3","1","1","19","2","1"
"67","174","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"68","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"69","229","2","2","2","2","2","2","2","3","3","2","2","2","1","1","3","2","1","1","2","1","2","2","1","1","2","18","2","2"
"70","130","1","2","1","3","1","1","1","4","2","1","2","1","2","1","1","2","1","2","2","1","2","1","1","1","1","21","2","7"
"71","227","1","1","1","1","1","2","1","3","3","2","3","3","1","1","2","1","1","1","3","1","2","1","1","2","1","19","2","6"
"72","219","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"73","225","1","1","1","1","1","1","3","3","3","2","1","2","2","1","1","1","1","1","4","2","1","1","2","2","1","21","2","2"
"74","234","1","3","1","2","1","1","1","2","2","3","3","2","1","1","2","2","1","2","3","4","2","1","4","2","1","18","1","2"
"75","246","1","1","1","1","1","1","1","1","1","1","1","1","3","1","1","3","1","1","1","1","1","1","1","1","1","18","2","7"
"76","245","1","1","1","4","2","2","3","3","2","2","3","1","1","3","3","3","2","3","1","3","3","2","4","3","1","19","2","7"
"77","250","1","2","2","2","1","3","1","2","2","4","3","1","1","3","2","2","1","3","2","1","1","3","1","2","2","19","1","6"
"78","218","2","2","2","2","2","2","2","4","3","4","3","3","1","1","2","1","1","2","2","1","1","1","2","1","1","","1","5"
"79","254","2","2","2","3","3","1","2","1","2","2","4","3","2","2","3","3","3","3","2","2","2","3","4","3","2","19","2","7"
"80","214","1","1","1","1","1","1","1","3","2","1","2","","3","1","1","2","1","2","1","1","2","1","1","1","1","","2","3"
"81","139","2","2","2","2","","2","2","2","2","2","2","2","2","","2","","2","","3","","2","3","2","3","3","","2","6"
"82","15528","1","1","1","1","1","2","","2","1","1","3","1","3","1","2","3","1","1","1","1","4","1","1","1","1","18","2","7"
"83","265","1","3","2","3","2","1","2","3","3","4","3","3","1","1","2","1","1","1","4","3","4","1","1","2","1","18","2","1"
"84","270","1","2","1","2","1","2","2","3","2","1","2","1","2","1","1","1","1","1","1","1","3","1","4","2","1","19","2","1"
"85","263","1","1","1","1","1","1","1","4","1","1","1","1","1","1","1","1","1","1","2","1","1","1","4","1","1","19","2","2"
"86","258","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"87","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"88","214","1","1","1","1","1","1","1","3","3","2","2","2","4","3","3","2","2","3","3","2","2","2","2","2","1","18","2","3"
"89","269","3","2","1","4","1","2","3","4","2","3","3","2","3","2","4","3","2","3","1","2","3","1","1","3","1","","2","7"
"90","271","3","3","4","3","3","3","4","3","2","2","1","3","1","2","2","3","1","2","2","3","4","1","4","2","2","","1","2"
"91","277","2","3","2","3","2","3","2","3","2","3","2","3","2","3","2","3","2","3","2","3","2","3","2","3","2","19","2","2"
"92","279","1","1","1","1","1","1","1","1","1","1","1","4","1","1","1","1","1","1","1","1","4","2","1","1","3","21","1","6"
"93","276","1","2","2","3","1","2","2","4","4","4","4","1","2","2","3","1","1","1","2","1","1","1","3","1","1","","2","2"
"94","16164","2","1","2","3","3","2","3","2","3","4","3","1","3","2","3","1","1","2","2","1","3","1","2","1","1","","1","3"
"95","275","3","2","1","1","3","2","3","1","1","1","1","1","2","1","1","3","1","3","3","1","3","3","1","1","1","18","2","1,3"
"96","286","1","3","1","4","2","3","2","3","4","2","1","1","2","1","","2","1","3","4","2","2","3","4","4","1","18","2","6"
"97","289","1","1","1","2","2","2","3","3","2","2","2","2","4","2","2","2","2","2","2","2","3","2","3","3","2","18","2","2"
"98","296","1","1","1","1","1","1","1","4","3","4","1","1","3","3","3","3","3","2","4","4","2","4","2","1","4","20","1","2"
"99","16235","3","2","3","4","1","2","2","4","3","4","1","3","1","1","2","2","1","1","4","1","3","1","2","1","1","","2","2"
"100","292","1","2","1","2","1","2","2","3","4","4","2","1","2","2","3","3","1","2","2","1","2","1","3","3","1","18","2","2"
"101","297","1","4","4","3","3","4","2","3","3","4","3","1","2","1","2","2","2","2","4","3","1","1","1","1","2","18","2","7"
"102","300","3","3","3","4","3","3","4","4","4","4","2","1","3","2","3","2","1","2","4","2","4","3","3","3","1","19","2","7"
"103","298","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"104","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"105","299","1","3","3","3","3","1","3","4","3","4","3","3","2","1","3","2","1","1","2","3","4","2","3","3","1","19","1","2"
"106","301","1","1","1","1","1","1","1","3","2","2","2","1","1","1","1","1","2","3","2","3","2","1","1","1","1","","1","6"
"107","382","3","3","4","3","3","3","2","3","2","4","3","2","2","1","3","2","2","2","4","2","3","3","4","2","2","19","2","2"
"108","385","1","2","1","1","1","1","1","3","3","4","3","2","1","1","2","1","1","2","3","1","1","2","2","1","1","23","2","6"
"109","388","3","2","2","1","1","1","2","3","2","3","2","2","2","1","1","2","1","1","3","2","3","3","2","2","2","19","2","6"
"110","386","1","2","2","3","1","2","3","4","4","3","4","2","2","1","3","3","1","2","2","1","4","2","3","3","1","20","2","2"
"111","399","3","3","4","3","3","2","2","1","1","2","2","4","4","3","3","4","4","2","3","4","3","4","3","2","3","26","2","2"
"112","400","1","1","1","1","1","2","1","1","2","1","2","1","1","1","1","2","2","1","4","3","1","1","1","1","1","19","2","2"
"113","402","1","2","1","1","1","1","1","1","1","2","2","1","3","1","1","3","1","1","3","3","1","1","1","1","1","30","1","1"
"114","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"115","407","1","1","1","2","1","1","1","1","2","3","1","1","3","1","2","1","1","1","3","3","3","3","2","1","1","18","2","2"
"116","410","2","2","3","4","3","4","4","3","4","3","4","4","4","4","1","1","1","1","2","2","2","2","2","2","3","20","2","2"
"117","409","1","1","1","3","1","1","2","1","1","1","1","1","3","2","3","3","3","3","1","1","2","1","1","1","2","23","2","6"
"118","447","2","2","2","3","2","2","3","3","3","3","3","1","1","1","2","1","1","2","4","2","3","2","3","3","3","19","2","2"
"119","428","2","2","2","4","4","4","4","4","4","2","1","1","4","2","4","2","4","4","4","3","4","4","4","4","3","19","2","2"
"120","441","1","3","3","3","1","2","4","3","3","3","2","4","1","1","1","1","2","1","3","1","3","1","3","3","1","18","1","2"
"121","437","1","3","2","2","4","3","3","4","4","2","1","1","2","3","2","4","1","2","3","1","2","2","1","3","2","19","2","2"
"122","1000494075","4","4","4","4","4","4","4","2","2","4","4","1","2","1","4","4","1","4","1","3","4","1","4","4","1","21","2","1"
"123","449","1","1","1","4","2","3","3","4","4","4","3","2","2","1","3","2","1","2","4","1","2","1","2","4","1","","2","6"
"124","433","2","2","2","2","2","2","2","2","3","3","3","2","1","1","2","1","1","2","2","1","3","1","3","3","1","19","1","2"
"125","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"126","436","1","1","2","3","1","3","3","3","3","4","3","3","2","1","3","3","1","1","1","2","3","1","4","4","1","18","2","1"
"127","460","3","3","2","1","1","2","3","2","1","4","3","2","1","1","2","3","1","2","1","1","4","3","4","1","2","22","1","2"
"128","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"129","471","2","2","4","3","1","3","2","4","4","2","1","2","4","3","4","2","2","4","3","1","2","1","4","4","2","19","2","2"
"130","440","2","2","2","2","2","3","3","3","3","3","3","2","2","2","2","2","1","2","1","2","3","2","3","2","2","18","1","2"
"131","450","1","2","1","3","1","2","2","4","2","3","2","3","1","1","1","1","1","3","2","1","3","1","2","3","2","18","2","2"
"132","470","1","1","1","1","1","2","2","3","1","1","1","1","3","3","1","2","2","2","1","2","2","2","2","1","2","24","1","2"
"133","423","1","2","1","1","1","1","1","1","1","1","1","1","3","1","2","2","1","2","3","1","1","1","1","1","1","18","2","2"
"134","453","3","3","2","3","2","2","3","3","2","3","2","2","3","3","3","3","3","2","2","3","2","3","2","3","3","18","2","7"
"135","431","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"136","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"137","481","1","1","2","2","1","1","1","2","2","1","1","1","1","1","1","1","1","1","2","1","1","1","2","1","1","18","2","2"
"138","483","1","1","1","2","1","2","2","2","2","2","2","2","2","1","2","2","2","1","2","2","3","3","1","2","2","28","1","7"
"139","429","4","2","2","2","2","3","3","4","2","4","2","1","1","1","1","1","1","2","4","2","2","1","1","2","1","","1","2"
"140","424","2","3","3","3","3","3","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","18","2","2"
"141","1000494075","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"142","463","3","3","3","4","3","2","3","4","4","4","3","1","1","1","4","2","2","2","4","3","3","3","4","3","3","18","2","6"
"143","426","3","3","2","3","3","2","3","3","2","1","2","1","1","1","2","2","1","1","1","1","2","1","2","3","1","18","2","2"
"144","17027","3","2","2","2","1","3","3","3","2","3","3","1","1","1","2","1","1","1","1","1","2","1","2","1","1","18","2","2"
"145","419","3","3","3","4","2","2","3","4","3","4","3","2","1","2","3","2","2","2","1","2","3","2","4","3","2","22","1","2"
"146","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"147","485","2","1","1","3","1","1","2","4","1","3","2","3","2","1","3","1","1","3","3","2","2","3","2","4","2","","2","2,7"
"148","452","1","2","1","1","1","1","1","1","3","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","18","2","2"
"149","462","1","1","1","3","1","2","3","3","1","2","2","1","3","2","2","3","2","2","2","2","3","3","2","2","3","","1","6"
"150","439","3","3","3","2","3","2","3","2","2","3","2","1","2","1","2","3","1","1","2","2","3","3","2","2","2","18","1","3"
"151","543","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"152","427","3","3","3","3","2","3","2","3","2","3","2","3","2","1","2","2","1","2","2","1","3","2","4","3","1","18","2","2"
"153","485","1","2","3","1","1","2","3","1","1","2","1","1","4","1","1","1","2","1","3","1","4","3","3","1","2","18","1","2"
"154","430","3","3","3","2","1","2","3","3","3","2","3","3","2","1","3","3","2","2","3","2","2","2","3","4","2","18","2","2,7"
"155","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"156","498","2","2","2","1","1","1","3","4","2","1","1","1","1","1","1","1","1","1","4","1","1","1","3","1","1","19","2","3"
"157","442","2","2","2","3","1","1","3","4","3","1","1","1","1","3","3","3","2","3","1","1","4","4","4","3","4","","2","3"
"158","516","1","1","1","3","1","1","3","3","3","3","1","1","1","1","1","1","1","1","1","3","3","1","3","3","1","19","2","2"
"159","521","3","3","3","2","3","2","3","4","2","3","3","1","3","3","3","2","2","4","2","2","3","2","3","2","2","18","1","2"
"160","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"161","412","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"162","420","1","1","1","1","1","2","1","2","1","2","2","1","4","3","1","2","1","3","1","2","1","1","2","2","1","18","1","6"
"163","17444","3","3","3","4","1","2","1","3","4","4","4","1","4","1","4","4","1","1","2","1","2","1","3","3","1","18","2","2"
"164","455","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"165","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"166","530","3","3","3","1","2","4","3","1","3","1","1","1","1","1","3","1","1","1","3","1","3","2","1","1","3","","2","2"
"167","529","1","3","3","3","2","2","3","4","4","2","2","1","3","3","3","4","1","2","3","2","3","1","1","2","1","23","2","7"
"168","527","1","1","1","1","1","1","1","2","1","1","1","2","2","2","2","2","1","2","2","2","2","1","1","2","1","19","2","7"
"169","535","3","3","2","3","4","1","3","3","3","2","4","4","1","1","4","1","1","3","3","1","3","1","4","4","1","26","1","7"
"170","417","1","2","2","2","1","1","1","3","3","2","2","2","2","1","3","1","1","1","2","1","1","1","1","2","2","18","2","6"
"171","525","1","1","1","1","1","1","1","2","4","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","2",""
"172","517","2","3","3","3","1","3","3","3","3","3","3","2","2","3","2","3","3","2","3","2","2","2","3","3","3","18","2","6"
"173","492","1","3","2","1","1","2","3","1","1","1","3","2","1","2","2","4","2","1","2","1","3","2","2","3","3","18","2","6"
"174","499","2","3","2","2","1","1","3","3","3","3","2","2","1","1","2","2","1","2","2","1","3","2","4","2","1","18","2","6"
"175","523","1","2","2","2","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","1","1","1","19","1","6"
"176","547","2","2","2","2","2","2","2","2","3","3","2","2","2","2","3","2","1","2","3","1","1","1","1","1","2","21","2","2"
"177","548","1","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","22","1","2"
"178","540","1","3","3","4","2","4","4","1","2","3","4","1","3","2","1","1","1","3","2","1","3","3","3","1","3","18","2","7"
"179","508","1","1","2","3","2","1","2","4","2","3","2","3","2","2","1","1","1","2","2","3","3","4","2","2","4","","1","7"
"180","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"181","420","1","1","1","1","1","3","1","4","2","1","2","1","4","3","3","1","2","3","1","2","1","1","2","1","1","18","1","6"
"182","555","1","1","1","1","1","1","1","1","1","1","1","1","1","4","1","2","4","1","2","1","3","4","1","1","4","21","1","2"
"183","552","1","1","1","1","1","1","2","2","3","1","1","3","1","1","1","1","1","1","1","1","3","1","1","1","1","","2","2"
"184","444","2","2","2","2","3","3","2","3","4","4","3","1","2","1","3","3","1","1","4","1","3","2","1","1","2","18","2","6"
"185","473","1","3","3","2","1","2","1","2","1","3","3","2","3","1","3","2","1","2","2","2","3","3","3","3","3","19","1","7"
"186","550","1","1","1","1","1","4","2","4","4","1","1","1","1","1","3","1","1","1","1","1","3","1","3","2","1","18","2","2"
"187","546","1","2","2","2","2","1","2","3","2","3","3","2","3","1","2","3","2","2","2","2","3","2","2","2","2","","2","7"
"188","494","3","3","2","2","2","2","2","2","2","4","2","2","4","1","3","3","1","3","1","1","1","1","1","1","1","18","2","2"
"189","549","1","1","1","1","2","4","4","2","1","1","1","1","1","2","1","1","3","3","1","2","4","3","3","1","3","25","2","7"
"190","521","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"191","560","1","1","1","3","1","1","3","3","1","1","2","2","3","2","1","4","2","3","1","1","2","1","1","2","1","21","2","6"
"192","420","1","1","1","1","1","1","1","2","1","2","2","1","4","3","1","3","1","2","2","2","2","1","2","1","1","18","1","6"
"193","563","1","2","3","4","3","2","1","2","3","4","3","2","1","2","3","4","3","2","1","2","3","4","3","2","1","18","2","2"
"194","567","2","3","3","4","2","2","4","4","4","3","3","3","1","3","4","2","1","2","3","3","4","3","4","2","3","","2","2"
"195","551","3","3","2","4","3","3","4","3","2","3","1","1","4","2","2","3","1","1","2","1","3","2","4","4","2","18","2","7"
"196","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"197","416","1","3","2","2","2","4","3","2","1","1","2","2","3","1","1","1","1","1","4","3","2","1","1","1","1","18","2","6"
"198","561","1","1","","4","2","2","4","3","2","3","1","4","4","1","3","2","1","1","3","2","4","1","4","4","1","18","2","2"
"199","577","2","2","2","3","2","2","3","3","2","3","3","2","4","3","2","3","2","3","3","3","3","3","3","2","3","18","2","3"
"200","572","2","3","2","3","2","3","2","3","2","3","2","3","2","3","2","3","2","3","2","3","2","3","2","3","2","21","2","2"
"201","518","1","1","1","1","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","3","3","1","18","1","2"
"202","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"203","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"204","581","1","1","1","1","1","1","2","2","1","1","1","1","1","1","1","2","1","1","1","1","2","1","2","1","1","19","2","7"
"205","582","1","2","1","3","1","2","2","4","3","4","3","1","3","1","2","3","1","1","3","1","3","1","3","1","1","18","2","2"
"206","571","3","2","3","4","2","1","3","4","2","3","3","2","2","1","1","2","1","1","2","2","3","1","3","2","1","","2","6"
"207","573","3","2","2","3","4","4","3","3","3","1","3","2","4","","3","3","1","2","2","1","4","1","4","1","1","","2","2"
